price,size,bedrooms,bathrooms,parking spaces,location,address,href
2995000,116,3,1,1,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108037683
2995000,87,1,1,1,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108371610
2995000,79,1,1,,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108152109
2995000,76,2,1,1,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/107759834
2995000,116,3,1,1,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108479397
2995000,78,2,1,2,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/107680083
2995000,82,2,2,1,Green Point,135 Main Road,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/106752123
2991550,61,1,1,1,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/107754083
2950000,61,1,1,1,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108554202
2990000,97,2,1,1,Sea Point,A11 Punta Del Mar,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108443467
2990000,51,1,1,1,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108454787?plId=571139&plt=3
2990000,37,0.5,1,1,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108414275
2990000,51,1,1,,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/107044139
2960000,75,2,2,1,Sea Point,1 Oldfield Road,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108492278
2950000,75,1,1,2,Sea Point,81 Regent Road,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108391041
2950000,56,1,1,,Green Point,91 Main Road,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108433332
2950000,46,1,1,1,Green Point,145 Main Road,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108349838
2950000,61,1,1,1,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108423305
2950000,97,2,1,1,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108247232
2950000,91,4,2,1,Sea Point,4 Norfolk Road,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108186830
2950000,73,2,1,,Green Point,1 Ravenscraig Road,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108282019
2950000,88,2,2,1,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108211847
2932500,51,1,1,1,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/107533437
2907000,61,1,1,1,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/107814911
2900000,91,3,1,,Sea Point,367 Main Road,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/105741361
2900000,63,2,2,1,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108610507
2900000,,1.5,1.5,1,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108623344
2850000,87,2,1,1,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108628380
2900000,79,2,1,,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108445632
2895000,72,2,1,1,Sea Point,267 High Level Road,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/107679640
2895000,103,3,1,1,Sea Point,"606 Trafalgar Place, 67a Regent Road",https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108551187
2890000,56,1,1,1,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108413397
2880000,47,2,1,1,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/107465846
2875000,61,1,1,,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/105893424
2850000,,2,1,1,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108519499
